spectrum_key	peptide_key	number_of_nodes	number_of_edges
6274646523659174909	1526271875777244526	9	8
934129051203962381	1526271875777244526	9	8
8766189337063711456	1526271875777244526	9	8
-6309643899787023069	-8546626484350481403	10	9
8321034160968093588	1526271875777244526	9	8
7660316863590152174	2491998502196946225	14	42
-2377342442538554534	1388635841474298747	12	26
5973470073379614896	1526271875777244526	9	8
8079487417937708720	1573184589938542332	10	8
7663981380351441958	-8546626484350481403	10	9
-5551222726068262899	-8546626484350481403	10	9
-2360729342123494132	3570439050552151534	12	27
-7211712842759674208	-695769307715925696	15	51
3842764469488317152	7326875935706676482	11	17
3866218431702449212	7325830813958973150	12	25
-2697282644629391312	-8546626484350481403	10	9
7660317478958280044	3988422859795233197	14	42
6697593213607852872	-2077946969158575359	16	60
-4077626216765411292	1526271875777244526	9	8
5969336491288515612	1526271875777244526	9	8
8901314130563571396	8124257509195293846	13	34
5469367081180020048	-8546626484350481403	10	9
5469370857644926930	7326875935706676482	11	17
-9138446695284718671	3570439050552151534	12	27
7748505938610167145	-705039472509146131	14	42
2505377118371261502	-4766209310510537172	13	42
-2468180685743291680	-6188816532915686489	17	68
-3754230126898867134	1526271875777244526	9	8
3969626100396912267	1526271875777244526	9	8
-6665045453795081089	3571106396505272299	14	45
-6877297868712170627	5753763298208735006	12	26
-4893131421330302076	3464211861741338456	13	34
4588240689454635166	1526271875777244526	9	8
-8298784385140119000	8124257509195293846	13	34
-2558798896417101912	455094006162096435	11	17
-4893133140237647610	-7173683247164420531	11	18
-1186851864671915260	4530625241604008029	16	60
-6659908154616352431	-7173683247164420531	11	18
844112478645404940	-6373891773873076625	14	41
8251503344040190249	455094006162096435	11	17
831504966627023706	3570439050552151534	12	27
-2422269175024382876	4002520323374421469	16	60
-8107322467015847169	-3875090541013566807	15	44
900098943416447774	1526271875777244526	9	8
